sepal_length,sepal_width,petal_length,petal_width,species
0.30555555555555564,0.7083333333333333,0.0847457627118644,0.04166666666666667,Iris-setosa
0.13888888888888887,0.5833333333333333,0.1016949152542373,0.04166666666666667,Iris-setosa
0.13888888888888887,0.41666666666666663,0.06779661016949151,0.0,Iris-setosa
0.0,0.41666666666666663,0.016949152542372895,0.0,Iris-setosa
0.41666666666666663,0.8333333333333333,0.033898305084745756,0.04166666666666667,Iris-setosa
0.38888888888888895,1.0,0.0847457627118644,0.12500000000000003,Iris-setosa
0.30555555555555564,0.7916666666666665,0.05084745762711865,0.12500000000000003,Iris-setosa
0.22222222222222213,0.6249999999999999,0.06779661016949151,0.08333333333333333,Iris-setosa
0.38888888888888895,0.7499999999999998,0.11864406779661016,0.08333333333333333,Iris-setosa
0.22222222222222213,0.7499999999999998,0.0847457627118644,0.08333333333333333,Iris-setosa
0.30555555555555564,0.5833333333333333,0.11864406779661016,0.04166666666666667,Iris-setosa
0.22222222222222213,0.7083333333333333,0.0847457627118644,0.12500000000000003,Iris-setosa
0.08333333333333327,0.6666666666666666,0.0,0.04166666666666667,Iris-setosa
0.22222222222222213,0.5416666666666665,0.11864406779661016,0.16666666666666669,Iris-setosa
0.13888888888888887,0.5833333333333333,0.15254237288135591,0.04166666666666667,Iris-setosa
0.19444444444444448,0.41666666666666663,0.1016949152542373,0.04166666666666667,Iris-setosa
0.19444444444444448,0.5833333333333333,0.1016949152542373,0.12500000000000003,Iris-setosa
0.25000000000000006,0.6249999999999999,0.0847457627118644,0.04166666666666667,Iris-setosa
0.25000000000000006,0.5833333333333333,0.06779661016949151,0.04166666666666667,Iris-setosa
0.11111111111111119,0.5,0.1016949152542373,0.04166666666666667,Iris-setosa
0.13888888888888887,0.4583333333333333,0.1016949152542373,0.04166666666666667,Iris-setosa
0.30555555555555564,0.5833333333333333,0.0847457627118644,0.12500000000000003,Iris-setosa
0.25000000000000006,0.8749999999999998,0.0847457627118644,0.0,Iris-setosa
0.3333333333333333,0.9166666666666666,0.06779661016949151,0.04166666666666667,Iris-setosa
0.1666666666666668,0.4583333333333333,0.0847457627118644,0.0,Iris-setosa
0.19444444444444448,0.5,0.033898305084745756,0.04166666666666667,Iris-setosa
0.3333333333333333,0.6249999999999999,0.05084745762711865,0.04166666666666667,Iris-setosa
0.1666666666666668,0.4583333333333333,0.0847457627118644,0.0,Iris-setosa
0.027777777777777922,0.41666666666666663,0.05084745762711865,0.04166666666666667,Iris-setosa
0.22222222222222213,0.5833333333333333,0.0847457627118644,0.04166666666666667,Iris-setosa
0.19444444444444448,0.6249999999999999,0.05084745762711865,0.08333333333333333,Iris-setosa
0.055555555555555594,0.1249999999999999,0.05084745762711865,0.08333333333333333,Iris-setosa
0.027777777777777922,0.5,0.05084745762711865,0.04166666666666667,Iris-setosa
0.19444444444444448,0.6249999999999999,0.1016949152542373,0.20833333333333334,Iris-setosa
0.22222222222222213,0.7499999999999998,0.15254237288135591,0.12500000000000003,Iris-setosa
0.13888888888888887,0.41666666666666663,0.06779661016949151,0.08333333333333333,Iris-setosa
0.22222222222222213,0.7499999999999998,0.1016949152542373,0.04166666666666667,Iris-setosa
0.08333333333333327,0.5,0.06779661016949151,0.04166666666666667,Iris-setosa
0.27777777777777773,0.7083333333333333,0.0847457627118644,0.04166666666666667,Iris-setosa
0.19444444444444448,0.5416666666666665,0.06779661016949151,0.04166666666666667,Iris-setosa
